Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
LARP1		5	4	515	0.8%	No
PPP1R13B		4	4	515	0.8%	No
PUM2		4	4	515	0.8%	No
FNBP4		12	12	515	2.3%	No
ZNF629		9	9	515	1.7%	No
PSD3		8	7	515	1.4%	No
RNF113B		2	2	515	0.4%	No
OBSL1		9	9	515	1.7%	No
SAE1		2	2	515	0.4%	No
ARFGAP2		2	2	515	0.4%	No
UBA2		1	1	515	0.2%	No
ABCC5		9	9	515	1.7%	No
FARSB		8	8	515	1.6%	No
NIFK		1	1	515	0.2%	No
DNM1L		2	2	515	0.4%	No
ABCB6		6	6	515	1.2%	No
ABCC9		26	19	515	3.7%	No
NR1H3		2	2	515	0.4%	No
ABCF2		1	1	515	0.2%	No
COX17		1	1	515	0.2%	No
UFL1		5	5	515	1.0%	No
FAM71B		9	8	515	1.6%	No
DNAJB8		2	2	515	0.4%	No
RRP8		2	2	515	0.4%	No
APLF		6	6	515	1.2%	No
ICE1		17	16	515	3.1%	No
ARHGEF18		6	6	515	1.2%	No
TNS2		8	7	515	1.4%	No
CRTC1		1	1	515	0.2%	Yes
SCAMP2		2	2	515	0.4%	No
SCAMP3		4	4	515	0.8%	No
RWDD2B		4	4	515	0.8%	No
PLAC8L1		2	2	515	0.4%	No
ESYT1		7	7	515	1.4%	No
SYNE1		113	85	515	16.5%	No
SMCHD1		13	12	515	2.3%	No
DOCK9		8	8	515	1.6%	No
PHF24		2	2	515	0.4%	No
MUC17		50	38	515	7.4%	No
DNAJC16		2	2	515	0.4%	No
ASB5		5	5	515	1.0%	No
ASB6		2	2	515	0.4%	No
CHAF1A		4	4	515	0.8%	No
PARP3		2	2	515	0.4%	Yes
PARP2		4	4	515	0.8%	Yes
TOM1L1		2	2	515	0.4%	No
HMGXB4		8	7	515	1.4%	No
SUN1		4	4	515	0.8%	No
HAUS5		3	3	515	0.6%	No
VPS8		6	6	515	1.2%	No
SH3RF2		4	4	515	0.8%	No
ANGEL1		5	5	515	1.0%	No
USP24		6	5	515	1.0%	No
PIKFYVE		11	9	515	1.7%	No
ASB8		4	4	515	0.8%	No
ASB9		2	2	515	0.4%	No
U2SURP		4	4	515	0.8%	No
KHNYN		2	2	515	0.4%	No
MYL6B		3	2	515	0.4%	No
UBR4		22	19	515	3.7%	No
SH2D3C		8	8	515	1.6%	No
ZNF358		4	4	515	0.8%	No
TOM1		3	3	515	0.6%	No
MAMLD1		4	4	515	0.8%	No
MYO3B		11	10	515	1.9%	No
ZSWIM2		6	5	515	1.0%	No
SH2D3A		3	3	515	0.6%	No
HOOK3		5	5	515	1.0%	Yes
RANBP9		1	1	515	0.2%	No
CST8		1	1	515	0.2%	No
DNAJB6		1	1	515	0.2%	No
GJA5		4	4	515	0.8%	No
GJA4		2	2	515	0.4%	No
GJA3		2	2	515	0.4%	No
GJB3		1	1	515	0.2%	No
GJB1		1	1	515	0.2%	No
GJA8		7	7	515	1.4%	No
ACTBL2		3	3	515	0.6%	No
GK2		6	6	515	1.2%	No
GK		5	5	515	1.0%	No
GPC3		5	5	515	1.0%	Yes
GLA		1	1	515	0.2%	No
SOST		1	1	515	0.2%	No
LIN9		3	3	515	0.6%	No
TRIM59		2	2	515	0.4%	No
SIGIRR		1	1	515	0.2%	No
GLB1		4	3	515	0.6%	No
GCLC		5	4	515	0.8%	No
FBLL1		1	1	515	0.2%	No
LINC01098		4	4	515	0.8%	No
HAPLN1		4	4	515	0.8%	No
GLI1		7	7	515	1.4%	Yes
GLG1		7	7	515	1.4%	No
GLE1		2	2	515	0.4%	No
CRP		2	2	515	0.4%	No
CRMP1		3	3	515	0.6%	No
GLDC		8	8	515	1.6%	No
GCLM		1	1	515	0.2%	No
CRYAA		1	1	515	0.2%	No
CRY2		3	3	515	0.6%	No
GLO1		2	2	515	0.4%	No
CRY1		4	4	515	0.8%	No
GLI4		3	3	515	0.6%	No
CRX		5	5	515	1.0%	No
GLI3		15	13	515	2.5%	No
GLI2		15	15	515	2.9%	No
GLUD1		2	2	515	0.4%	No
CRYBB1		3	3	515	0.6%	No
CRYBA4		6	6	515	1.2%	No
GLS		1	1	515	0.2%	No
GLRB		3	3	515	0.6%	No
CRYBA1		2	2	515	0.4%	No
GLRA2		5	5	515	1.0%	No
GPBP1L1		3	2	515	0.4%	No
GLRA1		4	4	515	0.8%	No
AFAP1		7	7	515	1.4%	No
HSPA12A		4	4	515	0.8%	No
GLP1R		2	2	515	0.4%	No
LY6G6F		2	2	515	0.4%	No
CRYGB		1	1	515	0.2%	No
CRYBB3		2	2	515	0.4%	No
GLUD2		10	10	515	1.9%	No
TMED5		3	3	515	0.6%	No
NALCN		27	27	515	5.2%	No
SGMS1		2	2	515	0.4%	No
PLEKHA2		1	1	515	0.2%	No
PLEKHA1		2	2	515	0.4%	No
PRDM12		1	1	515	0.2%	No
CRYGD		2	2	515	0.4%	No
GLUL		3	3	515	0.6%	No
CRYGC		1	1	515	0.2%	No
PRDM13		4	4	515	0.8%	No
CRYZ		2	2	515	0.4%	No
CRYM		1	1	515	0.2%	No
CRYGS		5	5	515	1.0%	No
METTL21A		2	2	515	0.4%	No
GNAI2		1	1	515	0.2%	No
SCPEP1		2	2	515	0.4%	No
GNAI1		1	1	515	0.2%	No
TRPV4		11	11	515	2.1%	No
ALOXE3		7	7	515	1.4%	No
SENP2		3	3	515	0.6%	No
HRH4		3	3	515	0.6%	No
LGI4		4	4	515	0.8%	No
PDCD2L		3	3	515	0.6%	No
SYNE4		3	3	515	0.6%	No
CSF1R		3	3	515	0.6%	Yes
GNA11		2	2	515	0.4%	Yes
KLHL12		5	5	515	1.0%	No
PYM1		1	1	515	0.2%	No
CSF1		2	2	515	0.4%	Yes
GMPR		1	1	515	0.2%	No
CSE1L		3	3	515	0.6%	No
GML		2	2	515	0.4%	No
ZNF397		1	1	515	0.2%	No
GMFB		1	1	515	0.2%	No
PGAP4		1	1	515	0.2%	No
MAPK14		2	2	515	0.4%	No
GNB4		2	2	515	0.4%	No
DDI2		1	1	515	0.2%	No
CS		2	2	515	0.4%	No
GMDS		4	4	515	0.8%	No
ZNF350		3	2	515	0.4%	No
NUDT22		3	3	515	0.6%	No
CHCHD6		2	2	515	0.4%	No
ARL6IP6		3	3	515	0.6%	No
CSF2RB		9	9	515	1.7%	No
CSF2RA		1	1	515	0.2%	No
GNA15		5	5	515	1.0%	No
GNB1		2	2	515	0.4%	Yes
TMEM35A		3	3	515	0.6%	No
GNAZ		5	5	515	1.0%	No
LGR6		11	10	515	1.9%	No
GNAT2		1	1	515	0.2%	No
PBOV1		1	1	515	0.2%	No
RXFP1		6	6	515	1.2%	No
CSN3		1	1	515	0.2%	No
GNAT1		2	2	515	0.4%	No
CSN2		3	3	515	0.6%	No
GNAS		13	13	515	2.5%	Yes
CSN1S1		1	1	515	0.2%	No
CSK		1	1	515	0.2%	No
CSHL1		3	3	515	0.6%	No
GNAO1		2	2	515	0.4%	No
CSH2		8	7	515	1.4%	No
GNAL		2	2	515	0.4%	No
CSH1		2	2	515	0.4%	No
GNAI3		2	2	515	0.4%	No
CSF3R		4	4	515	0.8%	Yes
FAM3A		3	3	515	0.6%	No
VCAN		33	28	515	5.4%	No
GNG11		1	1	515	0.2%	No
CSNK2A2		4	4	515	0.8%	No
CSNK2A1		8	8	515	1.6%	No
CSNK1G3		2	2	515	0.4%	No
CSNK1G2		1	1	515	0.2%	No
CSNK1E		5	4	515	0.8%	No
CSNK1D		3	3	515	0.6%	No
GNB3		6	6	515	1.2%	No
CSNK1A1		2	2	515	0.4%	No
GNB2		5	5	515	1.0%	No
ATP11C		10	10	515	1.9%	No
CST5		2	2	515	0.4%	No
CST4		2	2	515	0.4%	No
CST3		2	2	515	0.4%	No
CST1		5	5	515	1.0%	No
SLC25A10		3	3	515	0.6%	No
GNS		2	2	515	0.4%	No
GNRHR		2	2	515	0.4%	No
CSRP1		1	1	515	0.2%	No
CSPG4		10	10	515	1.9%	No
NCAN		8	8	515	1.6%	No
GNL1		2	2	515	0.4%	No
NKX2-5		1	1	515	0.2%	No
CSTF3		1	1	515	0.2%	No
CSTF2		2	2	515	0.4%	No
CSTF1		3	3	515	0.6%	No
CSTB		1	1	515	0.2%	No
CSTA		1	1	515	0.2%	No
H2BW2		1	1	515	0.2%	No
CTNNA1		8	8	515	1.6%	Yes
CTLA4		2	2	515	0.4%	Yes
CTH		4	4	515	0.8%	No
CCN2		3	3	515	0.6%	No
CTBP2		6	5	515	1.0%	No
CTBP1		2	1	515	0.2%	No
CTBS		1	1	515	0.2%	No
CTNNB1		7	5	515	1.0%	Yes
CTNS		1	1	515	0.2%	No
CTNNA2		30	28	515	5.4%	No
OOEP		2	2	515	0.4%	No
C3ORF84		1	1	515	0.2%	No
SPRY3		3	3	515	0.6%	No
SRRM1		5	5	515	1.0%	No
IRF1-AS1		1	1	515	0.2%	No
CHST5		3	3	515	0.6%	No
IRF2BP2		5	5	515	1.0%	No
TMEM207		1	1	515	0.2%	No
LPAR3		2	2	515	0.4%	No
ZNF346		1	1	515	0.2%	No
PADI4		3	3	515	0.6%	No
GTPBP4		4	4	515	0.8%	No
SPRY2		2	2	515	0.4%	No
SPRY1		2	2	515	0.4%	No
STAM2		3	3	515	0.6%	No
ABCC4		4	3	515	0.6%	No
CNKSR1		4	3	515	0.6%	No
LAYN		2	2	515	0.4%	No
DENND4A		9	9	515	1.7%	No
FAM133A		4	4	515	0.8%	No
IGSF6		3	3	515	0.6%	No
ZNF354B		2	2	515	0.4%	No
FOXB2		4	4	515	0.8%	No
CDK2AP2		1	1	515	0.2%	No
IRX5		6	6	515	1.2%	No
RAMP3		1	1	515	0.2%	No
RAMP1		1	1	515	0.2%	No
FAM126B		3	2	515	0.4%	No
ZMPSTE24		1	1	515	0.2%	No
TTC33		4	4	515	0.8%	No
UNC80		7	5	515	1.0%	No
SEC14L2		2	2	515	0.4%	No
FRA10AC1		4	4	515	0.8%	No
MAPK8IP2		3	3	515	0.6%	No
RBFOX2		1	1	515	0.2%	No
TMEM198		4	4	515	0.8%	No
SEZ6L		3	3	515	0.6%	No
ATP6V0A2		3	3	515	0.6%	No
SYNGR4		1	1	515	0.2%	No
LILRA4		6	6	515	1.2%	No
RCAN2		4	4	515	0.8%	No
LRRC23		5	4	515	0.8%	No
RUFY4		1	1	515	0.2%	No
MSLN		5	5	515	1.0%	No
RASGRP2		7	7	515	1.4%	No
LRRC17		2	2	515	0.4%	No
SLC35B1		3	3	515	0.6%	No
HNRNPR		5	5	515	1.0%	No
WBP1		3	3	515	0.6%	No
MRPS31		1	1	515	0.2%	No
RASD2		3	3	515	0.6%	No
CDK20		2	2	515	0.4%	No
LINGO3		2	2	515	0.4%	No
HYAL4		3	3	515	0.6%	No
TSPAN12		1	1	515	0.2%	No
TSPAN15		2	2	515	0.4%	No
PIGN		2	2	515	0.4%	No
GLYAT		6	6	515	1.2%	No
FAM47C		21	20	515	3.9%	No
PSD4		9	8	515	1.6%	No
KCNMB2		4	4	515	0.8%	No
CALCOCO2		1	1	515	0.2%	No
RGPD4		13	13	515	2.5%	No
RABEPK		2	2	515	0.4%	No
GPHN		5	5	515	1.0%	Yes
DUSP28		1	1	515	0.2%	No
POP7		1	1	515	0.2%	No
SLC9A9		7	6	515	1.2%	No
ARHGAP45		8	8	515	1.6%	No
ACAP2		3	3	515	0.6%	No
ZNF281		6	5	515	1.0%	No
H2BU1		1	1	515	0.2%	No
MTRNR2L6		4	4	515	0.8%	No
C8ORF34		11	11	515	2.1%	No
PDZD8		7	7	515	1.4%	No
RPL13A		1	1	515	0.2%	No
KAT6B		8	7	515	1.4%	Yes
CABIN1		15	14	515	2.7%	No
SRRM2		26	20	515	3.9%	No
CTDSPL		1	1	515	0.2%	No
PRG4		7	7	515	1.4%	No
KLRG1		2	2	515	0.4%	No
ANGPTL7		2	2	515	0.4%	No
CGAS		2	2	515	0.4%	No
FLOT1		2	2	515	0.4%	No
TOPORS		7	7	515	1.4%	No
MRPL55		2	2	515	0.4%	No
DDX39A		2	2	515	0.4%	No
OLIG2		1	1	515	0.2%	Yes
OR52A1		2	2	515	0.4%	No
SLC16A8		1	1	515	0.2%	No
DNAJC5G		3	3	515	0.6%	No
NNT		6	6	515	1.2%	No
PRAME		3	3	515	0.6%	No
PIK3R5		9	8	515	1.6%	No
TNPO3		3	3	515	0.6%	No
ADAT1		1	1	515	0.2%	No
MFSD10		4	4	515	0.8%	No
COQ7		1	1	515	0.2%	No
SFXN2		3	3	515	0.6%	No
TRIB1		3	3	515	0.6%	No
ZNF443		4	4	515	0.8%	No
GPA33		1	1	515	0.2%	No
PLIN3		1	1	515	0.2%	No
CD96		4	4	515	0.8%	No
RIMBP2		16	15	515	2.9%	No
TMEM131		9	9	515	1.7%	No
BICRAL		2	2	515	0.4%	No
CFAP47		23	21	515	4.1%	No
LRRC8B		3	3	515	0.6%	No
DAAM2		17	15	515	2.9%	No
ZFYVE26		12	11	515	2.1%	No
MORC3		6	6	515	1.2%	No
HSD17B13		1	1	515	0.2%	No
SLC39A14		3	3	515	0.6%	No
MTREX		4	4	515	0.8%	No
R3HDM1		8	8	515	1.6%	No
ANP32D		1	1	515	0.2%	No
IAH1		2	2	515	0.4%	No
SLC10A6		2	2	515	0.4%	No
KCTD2		2	2	515	0.4%	No
NUP188		4	4	515	0.8%	No
SUZ12		2	2	515	0.4%	Yes
SCRIB		12	12	515	2.3%	No
SPIDR		3	3	515	0.6%	No
TRIM13		3	3	515	0.6%	No
MPZL2		1	1	515	0.2%	No
USPL1		2	2	515	0.4%	No
PATJ		13	13	515	2.5%	No
EIF1		1	1	515	0.2%	No
MPHOSPH6		1	1	515	0.2%	No
DHRS2		2	2	515	0.4%	No
NUTF2		1	1	515	0.2%	No
CALCRL		4	4	515	0.8%	No
DIS3L2		8	7	515	1.4%	No
RGS21		1	1	515	0.2%	No
RLN3		1	1	515	0.2%	No
PTBP2		4	4	515	0.8%	No
ZNF513		8	8	515	1.6%	No
ASTL		2	2	515	0.4%	No
LHX8		2	2	515	0.4%	No
ZNF333		3	3	515	0.6%	No
PARD3B		7	7	515	1.4%	No
ABLIM2		3	3	515	0.6%	No
GINM1		2	2	515	0.4%	No
RFFL		6	6	515	1.2%	No
NEUROD4		4	4	515	0.8%	No
LZTS2		4	3	515	0.6%	No
DOT1L		10	9	515	1.7%	Yes
MOGAT1		1	1	515	0.2%	No
SYVN1		4	4	515	0.8%	No
BRSK1		7	7	515	1.4%	Yes
MAML2		6	6	515	1.2%	Yes
RAB11FIP4		4	4	515	0.8%	No
FRMPD3		7	7	515	1.4%	No
TSACC		1	1	515	0.2%	No
TXLNB		2	2	515	0.4%	No
GRK7		6	6	515	1.2%	No
TLCD1		2	2	515	0.4%	No
MSANTD4		4	4	515	0.8%	No
ARHGAP42		1	1	515	0.2%	No
HHIPL1		1	1	515	0.2%	No
APOBEC3G		1	1	515	0.2%	No
MRPS35		6	6	515	1.2%	No
CARD11		11	11	515	2.1%	Yes
TRMT11		1	1	515	0.2%	No
ZNF528		5	5	515	1.0%	No
ADGRA1		4	4	515	0.8%	No
SAV1		2	2	515	0.4%	No
KBTBD3		11	11	515	2.1%	No
PROK1		2	2	515	0.4%	No
TMEM125		2	2	515	0.4%	No
OLIG3		3	3	515	0.6%	No
SLC5A7		11	10	515	1.9%	No
ELOVL5		1	1	515	0.2%	No
TXNDC9		2	2	515	0.4%	No
TSHZ1		5	5	515	1.0%	No
LYPD6B		1	1	515	0.2%	No
RNF41		3	3	515	0.6%	No
CLRN2		1	1	515	0.2%	No
PRMT3		6	6	515	1.2%	No
LYPD6		1	1	515	0.2%	No
ALG3		1	1	515	0.2%	No
FBN3		13	12	515	2.3%	No
MEGF10		3	3	515	0.6%	No
ABHD15		3	3	515	0.6%	No
CWF19L2		7	7	515	1.4%	No
MPHOSPH9		4	4	515	0.8%	No
AASDHPPT		3	3	515	0.6%	No
PSME3		2	2	515	0.4%	No
HPSE2		3	3	515	0.6%	No
CCDC81		2	2	515	0.4%	No
MEGF11		5	5	515	1.0%	No
POGLUT3		1	1	515	0.2%	No
MPHOSPH10		3	3	515	0.6%	No
FASTKD5		3	3	515	0.6%	No
SLX4		9	9	515	1.7%	Yes
CCDC90B		1	1	515	0.2%	No
KLF17		3	3	515	0.6%	No
NIF3L1		1	1	515	0.2%	No
PPCDC		2	2	515	0.4%	No
NEURL4		8	8	515	1.6%	No
ZMAT1		9	9	515	1.7%	No
KLRG2		2	2	515	0.4%	No
LYG1		1	1	515	0.2%	No
TTC6		3	3	515	0.6%	No
MITD1		3	3	515	0.6%	No
SLC36A2		4	4	515	0.8%	No
WFDC1		2	2	515	0.4%	No
ZBTB7C		2	2	515	0.4%	No
COMTD1		3	3	515	0.6%	No
L3MBTL3		9	8	515	1.6%	No
EFCAB7		4	4	515	0.8%	No
LCOR		16	15	515	2.9%	No
ZMYND19		1	1	515	0.2%	No
PHYHIPL		2	2	515	0.4%	No
PABIR1		2	2	515	0.4%	No
MAP3K21		4	4	515	0.8%	No
ZNF512		7	7	515	1.4%	No
CTDSP1		2	2	515	0.4%	No
STRA8		2	2	515	0.4%	No
DHRS9		4	4	515	0.8%	No
CXCL16		3	1	515	0.2%	No
ZNF256		1	1	515	0.2%	No
RCL1		1	1	515	0.2%	No
SORBS3		3	3	515	0.6%	No
ZNF584		4	4	515	0.8%	No
ZSCAN4		7	7	515	1.4%	No
ARIH2OS		1	1	515	0.2%	No
ARHGEF19		5	5	515	1.0%	No
PES1		5	5	515	1.0%	No
TGDS		4	4	515	0.8%	No
LEPROTL1		1	1	515	0.2%	No
TENM1		38	33	515	6.4%	No
RBM7		1	1	515	0.2%	No
RBM5		8	8	515	1.6%	No
RBM6		5	5	515	1.0%	No
LHFPL2		1	1	515	0.2%	No
FNIP1		10	8	515	1.6%	No
HAAO		1	1	515	0.2%	No
MACF1		30	29	515	5.6%	No
ACSM1		7	7	515	1.4%	No
CES3		1	1	515	0.2%	No
CBX7		3	3	515	0.6%	No
HEY2		3	3	515	0.6%	No
TNFRSF13B		3	3	515	0.6%	No
LHFPL6		2	2	515	0.4%	No
ALYREF		2	2	515	0.4%	No
TNK2		6	5	515	1.0%	No
FAM71F2		2	2	515	0.4%	No
MBNL2		1	1	515	0.2%	No
ABI2		3	3	515	0.6%	No
IBA57		3	3	515	0.6%	No
GCAT		4	4	515	0.8%	No
CBX6		4	4	515	0.8%	No
NPTXR		3	3	515	0.6%	No
CBX5		1	1	515	0.2%	No
C7ORF33		2	2	515	0.4%	No
PHF3		18	18	515	3.5%	No
GOLGA2		7	7	515	1.4%	No
GOLGA1		7	6	515	1.2%	No
ZNF736		2	2	515	0.4%	No
ABCA6		9	9	515	1.7%	No
ABCA5		6	6	515	1.2%	No
HEY1		2	2	515	0.4%	Yes
PLXNC1		10	8	515	1.6%	No
CEBPZ		2	2	515	0.4%	No
RASA4		1	1	515	0.2%	No
GOT2		2	2	515	0.4%	No
TRIM28		2	2	515	0.4%	No
GOT1		1	1	515	0.2%	No
GOLGB1		16	15	515	2.9%	No
AASS		4	4	515	0.8%	No
GOLGA4		9	9	515	1.7%	No
GOLGA3		11	11	515	2.1%	No
ATP6AP2		3	3	515	0.6%	No
FLACC1		5	5	515	1.0%	No
FABP12		2	2	515	0.4%	No
LPAR6		2	2	515	0.4%	No
FARP1		13	10	515	1.9%	No
WASF2		4	4	515	0.8%	No
COL6A6		28	27	515	5.2%	No
LPCAT3		2	2	515	0.4%	No
ETHE1		1	1	515	0.2%	No
QPRT		1	1	515	0.2%	No
BRD4		8	8	515	1.6%	Yes
SEC11A		1	1	515	0.2%	No
NAXE		1	1	515	0.2%	No
FABP9		2	2	515	0.4%	No
GP1BA		4	4	515	0.8%	No
SFN		5	5	515	1.0%	No
TRAM1		4	4	515	0.8%	No
CAPN7		4	4	515	0.8%	No
SLC25A13		4	3	515	0.6%	No
GPD1		1	1	515	0.2%	No
CHST4		3	3	515	0.6%	No
IQGAP3		13	12	515	2.3%	No
FAM120B		4	4	515	0.8%	No
SERF2		3	3	515	0.6%	No
GP9		1	1	515	0.2%	No
ZNF197		5	4	515	0.8%	No
GP5		3	3	515	0.6%	No
GP2		5	5	515	1.0%	No
C1QL2		2	2	515	0.4%	No
GPM6A		6	6	515	1.2%	No
GPLD1		5	5	515	1.0%	No
GPI		4	4	515	0.8%	No
FAM209A		1	1	515	0.2%	No
GPD2		4	4	515	0.8%	No
HACD2		1	1	515	0.2%	No
XCR1		3	3	515	0.6%	No
GPR4		1	1	515	0.2%	No
GPR3		2	2	515	0.4%	No
CCR10		2	2	515	0.4%	No
GPR1		5	4	515	0.8%	No
GPM6B		4	4	515	0.8%	No
CTPS1		1	1	515	0.2%	No
PRLHR		3	3	515	0.6%	No
CXCR3		1	1	515	0.2%	No
CTNND2		33	29	515	5.6%	No
NPBWR2		4	4	515	0.8%	No
CTNND1		7	7	515	1.4%	No
GPR6		2	2	515	0.4%	No
EDA2R		1	1	515	0.2%	No
CTSD		5	5	515	1.0%	No
GPR15		2	2	515	0.4%	No
CTRL		2	2	515	0.4%	No
UTS2R		3	3	515	0.6%	No
GPR12		4	4	515	0.8%	No
CTSL		1	1	515	0.2%	No
GPR22		4	4	515	0.8%	No
CTSK		1	1	515	0.2%	No
GPR21		3	3	515	0.6%	No
GPR20		4	4	515	0.8%	No
CTSG		1	1	515	0.2%	No
CTSE		1	1	515	0.2%	No
GPR18		1	1	515	0.2%	No
EXOC4		16	16	515	3.1%	No
GPR17		2	2	515	0.4%	No
MOGAT3		2	2	515	0.4%	No
CTSO		3	3	515	0.6%	No
GPR26		4	4	515	0.8%	No
GPR25		2	2	515	0.4%	No
MCHR1		2	2	515	0.4%	No
CTSV		1	1	515	0.2%	No
LPAR4		7	7	515	1.4%	No
MUC21		2	2	515	0.4%	No
CXADR		2	2	515	0.4%	No
CUX1		21	19	515	3.7%	Yes
GPR32		1	1	515	0.2%	No
GPR31		2	2	515	0.4%	No
STT3B		2	2	515	0.4%	No
CTSW		3	3	515	0.6%	No
GPER1		3	3	515	0.6%	No
CTSS		4	4	515	0.8%	No
GPR27		2	2	515	0.4%	No
GPR35		2	2	515	0.4%	No
GPR34		2	2	515	0.4%	No
FAM171B		4	4	515	0.8%	No
CYBB		2	2	515	0.4%	No
FFAR2		1	1	515	0.2%	No
GPR42		1	1	515	0.2%	No
CDH26		4	4	515	0.8%	No
CYB561		2	2	515	0.4%	No
FFAR3		3	3	515	0.6%	No
FFAR1		2	2	515	0.4%	No
GPR39		6	6	515	1.2%	No
MLNR		3	3	515	0.6%	No
GPR37		10	10	515	1.9%	No
EP400P1		1	1	515	0.2%	No
CYLC2		7	7	515	1.4%	No
CYLC1		11	10	515	1.9%	No
GRK5		7	7	515	1.4%	No
CYC1		4	4	515	0.8%	No
GRK4		1	1	515	0.2%	No
CREBRF		6	6	515	1.2%	No
GPX5		2	2	515	0.4%	No
GPX2		1	1	515	0.2%	No
CYP1B1		5	5	515	1.0%	No
GPX1		4	4	515	0.8%	No
CYP1A2		5	4	515	0.8%	No
GPT		1	1	515	0.2%	No
CYP1A1		2	2	515	0.4%	No
GPS2		4	2	515	0.4%	Yes
GPS1		2	2	515	0.4%	No
MKNK2		2	2	515	0.4%	No
CYLD		14	14	515	2.7%	Yes
AMIGO2		1	1	515	0.2%	No
CYP2A7		2	2	515	0.4%	No
CYP2A6		2	2	515	0.4%	No
GPX4		2	2	515	0.4%	No
GRIA3		8	8	515	1.6%	No
GRIA2		17	16	515	3.1%	No
GRIA1		15	14	515	2.7%	No
CYP2C8		7	7	515	1.4%	No
RAPGEF1		5	5	515	1.0%	No
CYP2C19		6	6	515	1.2%	No
GRB14		4	4	515	0.8%	No
GRB10		2	2	515	0.4%	No
CYP2B6		4	4	515	0.8%	No
GRB7		2	2	515	0.4%	No
CYP2A13		3	3	515	0.6%	No
CYP3A7		1	1	515	0.2%	No
GPX7		1	1	515	0.2%	No
CYP2C9		5	5	515	1.0%	No
CEP120		4	4	515	0.8%	No
CYP2F1		3	3	515	0.6%	No
CYP2E1		6	6	515	1.2%	No
GRIK3		8	8	515	1.6%	No
GRIK2		16	16	515	3.1%	No
GRIK1		9	7	515	1.4%	No
BACH2		7	7	515	1.4%	Yes
ECRG4		1	1	515	0.2%	No
CYP2D6		4	4	515	0.8%	No
GRN		4	4	515	0.8%	No
GRID2		19	18	515	3.5%	No
GRID1		19	19	515	3.7%	No
CYP2C18		4	3	515	0.6%	No
GRIA4		11	10	515	1.9%	No
CORO1C		3	3	515	0.6%	No
CD2AP		4	4	515	0.8%	No
MKRN1		3	3	515	0.6%	No
MKRN2		3	3	515	0.6%	No
CYP11A1		3	2	515	0.4%	No
CYP8B1		6	6	515	1.2%	No
CYP7A1		6	6	515	1.2%	No
CYP4B1		5	5	515	1.0%	No
AMACR		3	3	515	0.6%	No
CLEC5A		1	1	515	0.2%	No
CYP4A11		11	10	515	1.9%	No
CYP3A5		1	1	515	0.2%	No
CYP3A4		3	3	515	0.6%	No
CYP2J2		7	7	515	1.4%	No
SH3BP1		2	2	515	0.4%	No
P2RY8		2	2	515	0.4%	Yes
TSSK2		6	6	515	1.2%	No
ZIM2		3	3	515	0.6%	No
EOGT		1	1	515	0.2%	No
CYP27B1		4	4	515	0.8%	No
CYP27A1		2	2	515	0.4%	No
CYP26A1		3	3	515	0.6%	No
CYP24A1		2	2	515	0.4%	No
PHLDA3		1	1	515	0.2%	No
ZMYND8		5	5	515	1.0%	No
CYP19A1		3	2	515	0.4%	Yes
CYP17A1		2	2	515	0.4%	Yes
ZNF267		1	1	515	0.2%	No
CYP11B2		5	5	515	1.0%	No
CYP11B1		6	6	515	1.2%	No
KATNB1		3	3	515	0.6%	No
SNAPC5		1	1	515	0.2%	No
CYP51A1		2	2	515	0.4%	No
EPHA6		15	14	515	2.7%	No
TOGARAM2		7	7	515	1.4%	No
SPDYE3		4	4	515	0.8%	No
MAGEB18		6	6	515	1.2%	No
DHX35		5	5	515	1.0%	No
AKR1B15		4	3	515	0.6%	No
SEMA3A		14	14	515	2.7%	No
PRKD3		9	9	515	1.7%	No
YY2		5	5	515	1.0%	No
RAB38		1	1	515	0.2%	No
TUBA1B		5	5	515	1.0%	No
RABL3		3	3	515	0.6%	No
IRF9		2	2	515	0.4%	No
TUBB3		2	2	515	0.4%	No
BPNT1		2	2	515	0.4%	No
TUBB4B		1	1	515	0.2%	No
TUBB4A		2	2	515	0.4%	No
ZFYVE27		2	2	515	0.4%	No
MORN4		1	1	515	0.2%	No
BTN2A2		4	4	515	0.8%	No
BTN3A3		7	7	515	1.4%	No
SCML2		6	6	515	1.2%	No
SYCP2		10	9	515	1.7%	No
ABCA9		11	11	515	2.1%	No
UBBP4		3	3	515	0.6%	No
TYW1B		4	4	515	0.8%	No
ZKSCAN5		9	9	515	1.7%	No
WARS2		8	8	515	1.6%	No
ABCA8		11	10	515	1.9%	No
ERICH6		4	4	515	0.8%	No
NPM2		1	1	515	0.2%	No
NPM3		3	3	515	0.6%	No
STX12		1	1	515	0.2%	No
TTC32		1	1	515	0.2%	No
UBR3		5	5	515	1.0%	No
SH3BP4		14	11	515	2.1%	No
ZNF716		15	15	515	2.9%	No
SGK3		3	3	515	0.6%	No
CEMIP2		19	19	515	3.7%	No
TMEFF2		2	2	515	0.4%	No
HMG20B		3	2	515	0.4%	No
MICU1		1	1	515	0.2%	No
CACNG2		3	3	515	0.6%	No
CACNG3		4	3	515	0.6%	No
ARFIP2		1	1	515	0.2%	No
SSBP3		2	2	515	0.4%	No
FBXW12		1	1	515	0.2%	No
POLA2		2	2	515	0.4%	No
NMS		3	3	515	0.6%	No
C3ORF38		2	2	515	0.4%	No
HSPBP1		1	1	515	0.2%	No
